Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
KRS;Saxony;;;;;;;;;;;;;
KRS_democracy;Saxon Republic;;;;;;;;;;;;;
KRS_absolute_monarchy;Kingdom of Saxony;;;;;;;;;;;;;
KRS_bourgeois_dictatorship;Saxon Bund;;;;;;;;;;;;;
KRS_proletarian_dictatorship;Saxon Socialist Republic;;;;;;;;;;;;;
KRS_presidential_dictatorship;Saxon Empire;;;;;;;;;;;;;
KRS_ADJ;Saxon;;;;;;;;;;;;;
TEU;Teutoland;;;;;;;;;;;;; #Teutonia
TEU_ADJ;Teutonic;;;;;;;;;;;;;
RTH;Ruthenia;;;;;;;;;;;;;
RTH_democracy;Ruthenian Republic;;;;;;;;;;;;;
RTH_absolute_monarchy;Ruthenian Czariate;;;;;;;;;;;;;
RTH_bourgeois_dictatorship;Ruthenian Federation;;;;;;;;;;;;;
RTH_proletarian_dictatorship;Ruthenian Coviet Republic;;;;;;;;;;;;;
RTH_presidential_dictatorship;Interregnal Ruthenia;;;;;;;;;;;;;
RTH_ADJ;Ruthenian;;;;;;;;;;;;;
WTL;Witlia;;;;;;;;;;;;;
WTL_ADJ;Witlian;;;;;;;;;;;;;
AEG;Aegypt;;;;;;;;;;;;;
AEG_ADJ;Aegyptian;;;;;;;;;;;;;
HNU;Hispania-Numidia;;;;;;;;;;;;;
HNU_ADJ;Hispanic;;;;;;;;;;;;;
FRK;Frankia;;;;;;;;;;;;;
FRK_ADJ;Frankish;;;;;;;;;;;;;
PRS;Mihranian Empire;;;;;;;;;;;;;
PRS_ADJ;Mihranian;;;;;;;;;;;;;
ANT;Anatolija;;;;;;;;;;;;;
ANT_ADJ;Anatolijan;;;;;;;;;;;;;
SCL;Sclavenia;;;;;;;;;;;;;
SCL_ADJ;Sclavenian;;;;;;;;;;;;;
WND;Wendia;;;;;;;;;;;;;
WND_ADJ;Wendish;;;;;;;;;;;;;
KPD;Kingdom of Poland;;;;;;;;;;;;;
KPD_ADJ;Polish;;;;;;;;;;;;;
BYR;Byeloruthenia;;;;;;;;;;;;;
BYR_ADJ;Byeloruthenian;;;;;;;;;;;;;
TEM;Temarundia;;;;;;;;;;;;;
TEM_ADJ;Temarundian;;;;;;;;;;;;;
LTT;Lettland;;;;;;;;;;;;;
LTT_ADJ;Lettlandish;;;;;;;;;;;;;
MOV;Moravia;;;;;;;;;;;;;
MOV_ADJ;Moravian;;;;;;;;;;;;;
PNN;Pannonia;;;;;;;;;;;;;
PNN_ADJ;Pannonian;;;;;;;;;;;;;
VLC;Vlachland;;;;;;;;;;;;;
VLC_ADJ;Vlach;;;;;;;;;;;;;
CRP;Carpathia;;;;;;;;;;;;;
CRP_ADJ;Carpathian;;;;;;;;;;;;;
NTR;Nitra;;;;;;;;;;;;;
NTR_ADJ;Nitravian;;;;;;;;;;;;;
BLA;Blatnohrad;;;;;;;;;;;;;
BLA_ADJ;Blatnohradish;;;;;;;;;;;;;
KRJ;Karantanija;;;;;;;;;;;;;
KRJ_ADJ;Karantanijan;;;;;;;;;;;;;
GPD;Gepidia;;;;;;;;;;;;;
GPD_ADJ;Gepidian;;;;;;;;;;;;;
VLT;Veletia;;;;;;;;;;;;;
VLT_ADJ;Veletian;;;;;;;;;;;;;
KRK;Krasnukral;;;;;;;;;;;;;
KRK_ADJ;Krasni;;;;;;;;;;;;;
MVA;Mirvoda;;;;;;;;;;;;;
MVA_ADJ;Mirvodan;;;;;;;;;;;;;
GAL;Galicia;;;;;;;;;;;;;
GAL_ADJ;Galician;;;;;;;;;;;;;
CNT;Cantabria;;;;;;;;;;;;;
CNT_ADJ;Cantabrian;;;;;;;;;;;;;
TRR;Tarracon;;;;;;;;;;;;;
TRR_ADJ;Tarraconian;;;;;;;;;;;;;
VAS;Vasconia;;;;;;;;;;;;;
VAS_ADJ;Vasconian;;;;;;;;;;;;;
CTL;Cathalaunia;;;;;;;;;;;;;
CTL_ADJ;Cathalaunian;;;;;;;;;;;;;
THR;Thracia;;;;;;;;;;;;;
THR_ADJ;Thracian;;;;;;;;;;;;;
MOE;Moesia;;;;;;;;;;;;;
MOE_ADJ;Moesian;;;;;;;;;;;;;
AGD;Angland;;;;;;;;;;;;;
AGD_ADJ;Anglish;;;;;;;;;;;;;
KVE;Kvenland;;;;;;;;;;;;;
KVE_ADJ;Kvenlandish;;;;;;;;;;;;;
SUO;Suomland;;;;;;;;;;;;;
SUO_ADJ;Suomlandish;;;;;;;;;;;;;
IVE;Ivernnia;;;;;;;;;;;;;
IVE_ADJ;Ivernnian;;;;;;;;;;;;;
PYR;Pyrene;;;;;;;;;;;;;
PYR_ADJ;Pyrenian;;;;;;;;;;;;;
POW;Powhatania;;;;;;;;;;;;;
POW_ADJ;Powhatan;;;;;;;;;;;;;
ATV;Austravelle;;;;;;;;;;;;;
ATV_ADJ;Austravelline;;;;;;;;;;;;;
AGU;Aregundia;;;;;;;;;;;;;
AGU_ADJ;Aregundian;;;;;;;;;;;;;
NNE;New Neustria;;;;;;;;;;;;;
NNE_ADJ;Neustrian;;;;;;;;;;;;;
LTH;Lotharingia;;;;;;;;;;;;;
LTH_ADJ;Lotharingian;;;;;;;;;;;;;
CRA;Carolingia;;;;;;;;;;;;;
CRA_ADJ;Carolingian;;;;;;;;;;;;;
STC;St. Clotildesland;;;;;;;;;;;;;
STC_ADJ;Clotildine;;;;;;;;;;;;;
EBR;Ebruacia;;;;;;;;;;;;;
EBR_ADJ;Ebruacian;;;;;;;;;;;;;
HLM;Helmetia;;;;;;;;;;;;;
HLM_ADJ;Helmetian;;;;;;;;;;;;;
BRC;Brycheiniog;;;;;;;;;;;;;
BRC_ADJ;Brycheinioggian;;;;;;;;;;;;;
WOR;Worcester;;;;;;;;;;;;;
WOR_ADJ;Worcesterian;;;;;;;;;;;;;
AMA;Abona Magna;;;;;;;;;;;;;
AMA_ADJ;Abonaean;;;;;;;;;;;;;
ALC;Alcester;;;;;;;;;;;;;
ALC_ADJ;Alcesterian;;;;;;;;;;;;;
DYF;Dyfnenia;;;;;;;;;;;;;
DYF_ADJ;Dyfnenian;;;;;;;;;;;;;
MER;Merskland;;;;;;;;;;;;;
MER_ADJ;Mersklander;;;;;;;;;;;;;
CAE;Caerlerion;;;;;;;;;;;;;
CAE_ADJ;Caerlerion;;;;;;;;;;;;;
TBJ;Tabajara;;;;;;;;;;;;;
TBJ_ADJ;Tabajaran;;;;;;;;;;;;;
PNE;Puerto Negro;;;;;;;;;;;;;
PNE_ADJ;Puertanian;;;;;;;;;;;;;
TPN;Tupiniquim;;;;;;;;;;;;;
TPN_ADJ;Tupiniquim;;;;;;;;;;;;;
TWT;Tawantinsuyu;;;;;;;;;;;;;
TWT_ADJ;Incan;;;;;;;;;;;;;
ILL;Illinois;;;;;;;;;;;;;
ILL_ADJ;Illinois;;;;;;;;;;;;;
PAW;Pawnee;;;;;;;;;;;;;
PAW_ADJ;Pawnee;;;;;;;;;;;;;
SAU;Sauk;;;;;;;;;;;;;
SAU_ADJ;Sauk;;;;;;;;;;;;;
SHN;Shawnee;;;;;;;;;;;;;
