Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV926;Ctesiphon;;;;;;;;;;;;;
TUR_935;Asoristan;;;;;;;;;;;;;
TUR_805;Macedonia;;;;;;;;;;;;;
TUR_810;Moesia;;;;;;;;;;;;;
TUR_853;Illyria;;;;;;;;;;;;;
MON_2582;Dardania;;;;;;;;;;;;;
SWI_603;Raetia;;;;;;;;;;;;;
PROV869;Smyrna;;;;;;;;;;;;;x
PROV964;Simferopolis;;;;;;;;;;;;;x
PROV966;Panticapaion;;;;;;;;;;;;;x
PROV967;Chersonesus;;;;;;;;;;;;;x
PROV882;Trapezounta;;;;;;;;;;;;;x
PROV884;Pharnacia;;;;;;;;;;;;;x
PROV879;Sebastia;;;;;;;;;;;;;x
PROV883;Sinope;;;;;;;;;;;;;x
PROV898;Zeugma;;;;;;;;;;;;;x
PROV896;Germanicea;;;;;;;;;;;;;x
PROV894;Adanus;;;;;;;;;;;;;x
PROV895;Tarsus;;;;;;;;;;;;;x
PROV877;Amaseia;;;;;;;;;;;;;x
PROV878;Mazaca;;;;;;;;;;;;;x
PROV876;Simonagios;;;;;;;;;;;;;x
PROV868;Dorylaeum;;;;;;;;;;;;;x
PROV873;Iconium;;;;;;;;;;;;;x
PROV875;Attaleia;;;;;;;;;;;;;x
PROV866;Heraclion;;;;;;;;;;;;;x
PROV874;Polydorion;;;;;;;;;;;;;x
PROV880;Timonion;;;;;;;;;;;;;x
PROV881;Hadrianopolis;;;;;;;;;;;;;x
PROV862;Nicomedia;;;;;;;;;;;;;x
PROV861;Chrysopolis;;;;;;;;;;;;;x
PROV863;Prusa;;;;;;;;;;;;;x
PROV867;Kotyaion;;;;;;;;;;;;;x
PROV864;Pergamon;;;;;;;;;;;;;x
PROV865;Dardanellia;;;;;;;;;;;;;x
PROV870;Magnesia;;;;;;;;;;;;;x
PROV871;Attouda;;;;;;;;;;;;;x
PROV872;Mobolla;;;;;;;;;;;;;x
PROV859;Kallipolis;;;;;;;;;;;;;x
PROV828;Adrianople;;;;;;;;;;;;;x
PROV900;Antioch;;;;;;;;;;;;;x
GRE_3001;Lydia;;;;;;;;;;;;;x
TUR_876;Phrygia;;;;;;;;;;;;;x
TUR_882;Pontus;;;;;;;;;;;;;x
TUR_873;Lycia;;;;;;;;;;;;;x
TUR_880;Paphlagonia;;;;;;;;;;;;;x
TUR_894;Cilicia;;;;;;;;;;;;;x
TUR_863;Bithynia;;;;;;;;;;;;;x
TUR_869;Ionia;;;;;;;;;;;;;x
TUR_890;West Armenia;;;;;;;;;;;;;x
PROV857;Ammochostos;;;;;;;;;;;;;x
PROV856;Lemesos;;;;;;;;;;;;;x
PROV855;Lefkosia;;;;;;;;;;;;;x
PROV853;Argyrocastron;;;;;;;;;;;;;x
PROV850;Skadar;;;;;;;;;;;;;x
PROV852;Oricum;;;;;;;;;;;;;x
PROV851;Dyrrhachium;;;;;;;;;;;;;x
PROV849;Masio;;;;;;;;;;;;;x
RUS_1102;Atropatene;;;;;;;;;;;;;x
TUR_893;Cappadocia;;;;;;;;;;;;;x
RUS_964;Tauric Peninsula;;;;;;;;;;;;;x
TUR_885;Chorzene;;;;;;;;;;;;;x
TUR_931;Nodshiragan;;;;;;;;;;;;;
PROV860;Constantinople;;;;;;;;;;;;;x
PROV858;Arcadiopolis;;;;;;;;;;;;;x
PROV808;Nicopolis ad Istrum;;;;;;;;;;;;;x
PROV816;Beroe;;;;;;;;;;;;;x
PROV815;Philippopolis;;;;;;;;;;;;;x
PROV817;Pomorie;;;;;;;;;;;;;x
PROV806;Episkopolis;;;;;;;;;;;;;x
PROV805;Thessaloniki;;;;;;;;;;;;;x
PROV830;Alexandroupolis;;;;;;;;;;;;;x
PROV1747;Naucratis;;;;;;;;;;;;;x
