Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
arian;Arian;;;;;;;;;;;;;
manichaean;Manichaean;;;;;;;;;;;;;
zoroastrian;Zoroastrian;;;;;;;;;;;;;
orthodox;Orthodox;;;;;;;;;;;;;
galatian;Galatian;;;;;;;;;;;;;
roman;Roman;;;;;;;;;;;;;
wendish;Wendish;;;;;;;;;;;;;
sclavenian;Sclavenian;;;;;;;;;;;;;
llati;Llatí;;;;;;;;;;;;;
saxon;German;;;;;;;;;;;;;
frankish;French;;;;;;;;;;;;;
laaglander;Laaglander;;;;;;;;;;;;;
teutonic;Teutonic;;;;;;;;;;;;;
vlach;Vlach;;;;;;;;;;;;;
pannonian;Pannonian;;;;;;;;;;;;;
kuringian;Kuringian;;;;;;;;;;;;;
temarundian;Voulugarian;;;;;;;;;;;;;
letts;Letts;;;;;;;;;;;;;
african;African;;;;;;;;;;;;;
vasconian;Vasconian;;;;;;;;;;;;;
galician;Galician;;;;;;;;;;;;;
hispanic;Hispanic;;;;;;;;;;;;;
levantine;Levantine;;;;;;;;;;;;;
aegyptian;Aegyptian;;;;;;;;;;;;;
greek;Hellenic;;;;;;;;;;;;;
narbonne;Narbonne;;;;;;;;;;;;;
byeloruthenian;Byeloruthenian;;;;;;;;;;;;;
babylonian;Babylonian;;;;;;;;;;;;;
sahid;Sahid;;;;;;;;;;;;;
ugrian;Beormling-Samoyeds;;;;;;;;;;;;;
ruthenian;Svernian;;;;;;;;;;;;;
norse;Norse;;;;;;;;;;;;;
anglish;Anglish;;;;;;;;;;;;;
brutonian;Brutonian;;;;;;;;;;;;;
ivernach;Ivernach;;;;;;;;;;;;;
carcassonnais;Carcassonnais;;;;;;;;;;;;;
filipino;Serican;;;;;;;;;;;;;
maxasekes;Maxasekes;;;;;;;;;;;;;
animist;Pagan;;;;;;;;;;;;;
colonial_frankish;Territoriale;;;;;;;;;;;;;
afro_frankish;Gentil;;;;;;;;;;;;;
frankish_creole;Métis;;;;;;;;;;;;;
colonial_saxon;Allmander;;;;;;;;;;;;;
amorican_frank;Dusangois;;;;;;;;;;;;;
afro_frankish_carrib;Caraïbes;;;;;;;;;;;;;
tibetan;Thibetan;;;;;;;;;;;;;
algonquian;Algonquian;;;;;;;;;;;;;
iroquoian;Iroquoian;;;;;;;;;;;;;
siouan;Siouan;;;;;;;;;;;;;
muskogean;Muskogean;;;;;;;;;;;;;
salishan;Salishan;;;;;;;;;;;;;
athabaskan;Athabaskan;;;;;;;;;;;;;
eskaleut;Eskaleut;;;;;;;;;;;;;
caddoan;Caddoan;;;;;;;;;;;;;
penutian;Penutian;;;;;;;;;;;;;
arawakan;Arawakan;;;;;;;;;;;;;
numic;Numic;;;;;;;;;;;;;
aztlanic;Aztlanic;;;;;;;;;;;;;
hokan;Hokan;;;;;;;;;;;;;
keresan;Keresan;;;;;;;;;;;;;
afro_roman;Egrippo-Libyan;;;;;;;;;;;;;
colonial_roman;Egripio;;;;;;;;;;;;;
colonial_vandal;Igriare;;;;;;;;;;;;;
colonial_african_mixed;Mskites;;;;;;;;;;;;;
afro_african;Ilibes;;;;;;;;;;;;;
colonial_new_african;Nobafrican;;;;;;;;;;;;;
afro_new_african;Filkihames;;;;;;;;;;;;;
maharuli;Varchonite;;;;;;;;;;;;;
pakawan;Pakawan;;;;;;;;;;;;;
otomanguean;Otomanguean;;;;;;;;;;;;;
mayan;Mayan;;;;;;;;;;;;;
mesoamerican_minor;Anahuacan Minor;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_WTL_CFL;$ORDER$Lottarian War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_WTL_CFL;$ORDER$Lottarian War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_WTL_RPM;$ORDER$Marembettine War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_WTL_RPM;$ORDER$Marembettine War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_WTL_PHO;$ORDER$Phosearan War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_WTL_PHO;$ORDER$Phosearan War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_VDR;$ORDER$Vandal War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_VDR;$ORDER$Vandal War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_ISB;$ORDER$Isperine War of Indpendence;x
